# LR rup_force
3.728873318394872225e-09 4.488782444544942319e-10
3.791058461261206521e-09 4.572856300103333496e-10
4.068992239885170041e-09 4.963913530819985468e-10
3.829766636116816770e-09 4.625791427337391913e-10
4.161737789509555952e-09 5.100470336440791680e-10
4.079216571237431306e-09 4.978810222993204996e-10
4.224468128206385541e-09 5.194707031708249093e-10
3.820058201019127031e-09 4.612470531361463374e-10
3.815211826555160622e-09 4.605831968091822327e-10
3.597957191761565430e-09 4.315506781931319024e-10
3.824909804870858535e-09 4.619123670195704606e-10
4.156542572481741883e-09 5.092734806776202915e-10
4.303876892984884375e-09 5.316272355572050331e-10
2.929157270753378611e-09 3.501061518680530036e-10
4.213963562808014652e-09 5.178818042475925349e-10
4.298548919613953935e-09 5.308034139759215331e-10
3.728873318394872225e-09 4.488782444544942319e-10
3.728873318394872225e-09 4.488782444544942319e-10
3.878621989933986816e-09 4.693282522086784579e-10
3.997992212580165223e-09 4.861508911844139206e-10
3.267638440654466312e-09 3.898537918472552270e-10
3.676949165189550616e-09 4.419467353919177011e-10
3.962868625718829426e-09 4.811507170166962344e-10
2.240628889888551230e-09 2.741148598766746973e-10
4.240261894756258267e-09 5.218679810917914257e-10
2.944256005601514381e-09 3.518551291168836575e-10
4.003030417327708441e-09 4.868716503229731909e-10
3.810370683404328063e-09 4.599207937800079358e-10
4.018175777623164435e-09 4.890437076212706973e-10
3.849246194089404247e-09 4.652609499337260794e-10
4.023234467432417968e-09 4.897710030877089553e-10
3.927997588245982431e-09 4.762283650694445777e-10
4.330589084447790758e-09 5.357756331188924172e-10
3.691047107899944490e-09 4.438208948908000406e-10
3.448972739920696268e-09 4.124052971937303976e-10
3.844368473881210885e-09 4.645882838391368032e-10
4.156542572481741883e-09 5.092734806776202915e-10
3.724126623301107301e-09 4.482412899467117352e-10
3.714649015236854116e-09 4.469715027513285736e-10
3.927997588245982431e-09 4.762283650694445777e-10
4.151352351166907893e-09 5.085017099144751277e-10
4.151352351166907893e-09 5.085017099144751277e-10
3.534050054999651911e-09 4.232663330030636173e-10
3.815211826555160622e-09 4.605831968091822327e-10
3.719385188506389118e-09 4.476057106991089988e-10
3.781433785418671312e-09 4.559766583227350448e-10
4.084336339463461924e-09 4.986284076805889885e-10
4.074101869943495789e-09 4.971353391564413406e-10
3.767036103438582205e-09 4.540238698770812430e-10
4.193013709205722940e-09 5.147260869940844815e-10
4.182568510899836583e-09 5.131591777873675292e-10
2.321326638600107459e-09 2.827009726129885348e-10
4.229727800460058578e-09 5.202679327598866510e-10
3.579592451861104677e-09 4.291586860319606806e-10
