# LR rup_force class
1.263689546979488645e-09 1.734003554649946134e-10 3.000000000000000000e+00
4.129779845049191411e-09 5.046693982506415179e-10 1.000000000000000000e+00
6.641129944289960841e-10 1.095565434459703775e-10 3.000000000000000000e+00
4.012065007584797720e-09 4.875940361700037072e-10 1.000000000000000000e+00
7.392063580018646754e-10 1.338570621629225410e-10 2.000000000000000000e+00
9.200750292883960394e-10 1.562806599374851227e-10 2.000000000000000000e+00
4.192264505578623867e-09 5.139417246402020941e-10 1.000000000000000000e+00
3.684848101987711665e-09 4.425701138175371443e-10 1.000000000000000000e+00
4.140143468588351025e-09 5.061970361981291330e-10 1.000000000000000000e+00
4.213253524111591882e-09 5.170901234210616807e-10 1.000000000000000000e+00
1.148027750047560736e-09 1.833597669088889008e-10 2.000000000000000000e+00
1.202488568323777312e-09 1.670893843622338881e-10 3.000000000000000000e+00
4.292670347830521905e-09 5.291615797603061863e-10 1.000000000000000000e+00
1.100347609062317708e-09 1.564917449817665998e-10 3.000000000000000000e+00
4.176575340718175980e-09 5.115995081932762009e-10 1.000000000000000000e+00
1.024065419726615597e-09 1.688488256488957166e-10 2.000000000000000000e+00
4.103959614136863504e-09 5.008808292503362477e-10 1.000000000000000000e+00
4.197504256755592067e-09 5.147260869940844815e-10 1.000000000000000000e+00
8.067638050839042452e-10 1.423343235768843499e-10 2.000000000000000000e+00
1.035009652907288202e-09 1.701611452950165687e-10 2.000000000000000000e+00
1.224310371047769910e-09 1.693424654390079136e-10 3.000000000000000000e+00
1.257969218719843692e-09 1.728114848449002940e-10 3.000000000000000000e+00
4.017126556908123922e-09 4.883180536288312391e-10 1.000000000000000000e+00
4.068025359160820380e-09 4.956490589256580167e-10 1.000000000000000000e+00
1.252280792801907592e-09 1.722257074625087009e-10 3.000000000000000000e+00
1.107855773687873623e-09 1.786029948275641065e-10 2.000000000000000000e+00
4.129779845049191411e-09 5.046693982506415179e-10 1.000000000000000000e+00
1.002640495094894156e-09 1.464764656511850022e-10 3.000000000000000000e+00
9.185977586051274646e-10 1.561007257328283668e-10 2.000000000000000000e+00
4.124605637826896342e-09 5.039082064606593450e-10 1.000000000000000000e+00
3.833313914400972383e-09 4.625791427337391913e-10 1.000000000000000000e+00
3.722675110809655285e-09 4.476057106991089988e-10 1.000000000000000000e+00
1.119884412610192684e-09 1.585262223576903429e-10 3.000000000000000000e+00
8.450028620793964020e-10 1.470753513800952388e-10 2.000000000000000000e+00
1.105354854327199548e-09 1.783065462028998424e-10 2.000000000000000000e+00
6.076220531061830883e-10 1.168788299516953126e-10 2.000000000000000000e+00
4.176575340718175980e-09 5.115995081932762009e-10 1.000000000000000000e+00
3.756051848303516919e-09 4.520837855138295119e-10 1.000000000000000000e+00
1.107853227154029858e-09 1.786026930091338894e-10 2.000000000000000000e+00
3.809024433244602129e-09 4.592598398054944087e-10 1.000000000000000000e+00
1.112460101537709872e-09 1.791490703283718228e-10 2.000000000000000000e+00
4.083395094544570433e-09 4.978810222993204996e-10 1.000000000000000000e+00
1.075571204249096948e-09 1.750104698106313177e-10 2.000000000000000000e+00
4.012065007584797720e-09 4.875940361700037072e-10 1.000000000000000000e+00
4.255470695582742417e-09 5.234755204238579281e-10 1.000000000000000000e+00
1.052238629316345745e-09 1.722236616085929281e-10 2.000000000000000000e+00
4.314035236751421456e-09 5.324530015860257478e-10 1.000000000000000000e+00
3.527872545520788988e-09 4.221026604492793554e-10 1.000000000000000000e+00
1.252280792801907592e-09 1.722257074625087009e-10 3.000000000000000000e+00
4.109113490156259924e-09 5.016350756800868254e-10 1.000000000000000000e+00
1.148437765462929239e-09 1.834081826964741468e-10 2.000000000000000000e+00
8.659832220500795855e-10 1.496608199361891017e-10 2.000000000000000000e+00
1.182648972053162998e-09 1.874463963502840253e-10 2.000000000000000000e+00
4.181800042293389625e-09 5.123784408322888890e-10 1.000000000000000000e+00
3.465018992900182849e-09 4.140917615820853850e-10 1.000000000000000000e+00
1.080129012723811672e-09 1.755540987081550135e-10 2.000000000000000000e+00
9.823259173579599776e-10 1.638265862490317690e-10 2.000000000000000000e+00
9.213689846408052158e-10 1.378364908469753698e-10 3.000000000000000000e+00
4.042511663670038130e-09 4.919627880152506840e-10 1.000000000000000000e+00
4.250176185194080729e-09 5.226708114618234657e-10 1.000000000000000000e+00
4.276698112348325624e-09 5.267132599466476559e-10 1.000000000000000000e+00
1.148861276442448816e-09 1.834581902801659517e-10 2.000000000000000000e+00
4.171355666104468491e-09 5.108223743101355383e-10 1.000000000000000000e+00
4.276698112348325624e-09 5.267132599466476559e-10 1.000000000000000000e+00
1.154633888291847977e-09 1.841406681997527390e-10 2.000000000000000000e+00
9.277956034275666785e-10 1.572204804316294806e-10 2.000000000000000000e+00
3.921843696430683515e-09 4.748360465938585952e-10 1.000000000000000000e+00
1.129970734872001290e-09 1.812237857750422581e-10 2.000000000000000000e+00
4.176575340718175980e-09 5.115995081932762009e-10 1.000000000000000000e+00
4.292670347830521905e-09 5.291615797603061863e-10 1.000000000000000000e+00
3.921843696430683515e-09 4.748360465938585952e-10 1.000000000000000000e+00
1.062855135999158212e-09 1.734926866274067491e-10 2.000000000000000000e+00
1.046625258241465212e-09 1.715522445283136862e-10 2.000000000000000000e+00
1.052895880413845288e-09 1.723022471902718071e-10 2.000000000000000000e+00
1.100652115193126956e-09 1.777479398079564563e-10 2.000000000000000000e+00
8.552397973662410830e-10 1.307204998625398429e-10 3.000000000000000000e+00
3.727427333461828740e-09 4.482412899467117352e-10 1.000000000000000000e+00
3.971758870799025530e-09 4.818602249533998476e-10 1.000000000000000000e+00
4.145332875436407960e-09 5.069634931184400046e-10 1.000000000000000000e+00
